product_name,brand,category,price,size,love_count,rating,reviews_count,category_1,category_2,category_3,size_oz,size_mL,size_g
Aqua XL Eye Pencil Waterproof Eyeliner,MAKE UP FOR EVER,Makeup/Eye/Eyeliner,21.0,0.04 oz/ 1.2 g,62286,3.8085,820,Makeup,Eye,Eyeliner,0.04,,1.2
Ultra HD Microfinishing Pressed Powder,MAKE UP FOR EVER,Makeup/Face/Setting Spray & Powder,37.0,0.21 oz/ 6.2 g,23263,3.9585,193,Makeup,Face,Setting Spray & Powder,0.21,,6.2
The Original MakeUp Eraser® Makeup Remover Cloth,Makeup Eraser,Makeup/Accessories/Makeup Removers,20.0,"7"" W x 16"" L",76096,4.2932,2053,Makeup,Accessories,Makeup Removers,,,
Sloth Makeup Eraser Set,Makeup Eraser,Makeup/Accessories/Makeup Removers,20.0,na,4184,5.0,6,Makeup,Accessories,Makeup Removers,,,
Highliner Gel Eye Crayon Eyeliner,Marc Jacobs Beauty,Makeup/Eye/Eyeliner,25.0,0.01 oz/ 0.5 g,243050,4.4137,6868,Makeup,Eye,Eyeliner,0.01,,0.5
Eye-Conic Multi-Finish Eyeshadow Palette,Marc Jacobs Beauty,Makeup/Eye/Eye Palettes,49.5,Steeletto,76529,4.6796,2344,Makeup,Eye,Eye Palettes,,,
O!Mega Glaze All-Over Foil Luminizer – Lust and Stardust Collection,Marc Jacobs Beauty,Makeup/Face/Highlighter,29.5,0.35 oz/ 10 g,7438,3.425,40,Makeup,Face,Highlighter,0.35,,10
Velvet Noir Major Volume Mascara,Marc Jacobs Beauty,Makeup/Eye/Mascara,10.0, - black,62569,4.2221,6411,Makeup,Eye,Mascara,,,
Extra Velvet: Velvet Noir & Primer Duo,Marc Jacobs Beauty,Makeup/Eye/Eye Sets,18.0,na,2626,3.1429,7,Makeup,Eye,Eye Sets,,,
The Glow Show: Skincare & Makeup Set,Marc Jacobs Beauty,Makeup/Value & Gift Sets,48.0,na,2058,5.0,1,Makeup,Value & Gift Sets,no info,,,
Enamored Hi-Shine Lip Lacquer Lipgloss,Marc Jacobs Beauty,Makeup/Lip/Lip Gloss,17.0,.16 oz/ 5 mL,172413,4.5052,1061,Makeup,Lip,Lip Gloss,.16,5,
Fineliner Ultra-Skinny Gel Eye Crayon Eyeliner,Marc Jacobs Beauty,Makeup/Eye/Eyeliner,25.0,0.0038 oz/ 0.10 g,46899,4.1364,770,Makeup,Eye,Eyeliner,0.0038,,0.10
Gloss Duo Nude Gloss Set,Marc Jacobs Beauty,Makeup/Lip/Lip Sets,38.0,na,3692,5.0,2,Makeup,Lip,Lip Sets,,,
Mini Velvet Noir Ornament,Marc Jacobs Beauty,Makeup/Eye/Mascara,10.0, - black,1791,0.0,0,Makeup,Eye,Mascara,,,
O!Mega Bronzer Coconut Perfect Tan,Marc Jacobs Beauty,Makeup/Cheek/Bronzer,49.0,0.8 oz/ 25 g,62583,4.5855,509,Makeup,Cheek,Bronzer,0.8,,25
